label,pixel0,pixel1,pixel2,pixel3
triangle,225,2,231,209
triangle,203,212,254,4
triangle,252,231,255,3
triangle,28,31,238,16
checkerboard,183,77,53,163
bright line,242,160,246,167
checkerboard,130,193,203,118
bright line,120,249,68,233
checkerboard,210,81,90,187
checkerboard,80,188,182,85
triangle,227,204,244,17
checkerboard,129,22,1,136
bright line,44,167,234,255
bright line,55,241,108,232
checkerboard,169,225,239,171
checkerboard,90,201,189,88
bright line,13,242,122,236
checkerboard,10,244,249,24
triangle,217,242,11,224
bright line,12,49,241,253
checkerboard,145,224,203,148
triangle,5,205,232,248
checkerboard,174,89,89,181
checkerboard,195,123,129,203
triangle,211,44,45,12
checkerboard,49,139,118,43
triangle,17,214,206,214
checkerboard,162,17,38,153
bright line,143,140,247,241
checkerboard,233,28,49,248
bright line,242,232,89,139
triangle,39,41,205,28
checkerboard,63,227,251,76
triangle,36,15,201,47
checkerboard,71,182,202,79
bright line,241,22,233,142
triangle,210,18,43,6
triangle,228,223,39,241
bright line,32,231,36,238
bright line,251,234,159,35
checkerboard,218,54,66,195
triangle,248,243,6,214
checkerboard,15,164,151,17
checkerboard,181,76,81,165
bright line,255,237,55,128
bright line,27,231,11,232
triangle,227,21,220,214
triangle,252,47,33,38
bright line,120,243,92,231
checkerboard,181,114,92,168
triangle,8,233,11,4
triangle,213,39,12,13
checkerboard,28,199,223,19
checkerboard,82,255,243,62
triangle,238,27,204,203
bright line,15,89,242,253
bright line,42,233,79,240
triangle,243,249,37,243
triangle,12,238,48,20
triangle,220,12,14,29
bright line,238,253,171,56
bright line,149,246,49,241
bright line,253,238,126,164
checkerboard,51,188,170,30
bright line,241,169,244,47
triangle,0,23,213,36
triangle,11,10,9,251
bright line,234,44,252,40
triangle,247,207,15,247
triangle,237,8,215,242
triangle,236,0,31,16
bright line,239,237,108,134
triangle,39,209,249,246
checkerboard,23,180,184,14
bright line,122,62,236,238
bright line,242,125,245,19
bright line,151,231,34,251
triangle,235,7,18,2
bright line,33,135,255,233
checkerboard,56,236,238,56
triangle,221,16,226,204
checkerboard,51,211,189,68
checkerboard,58,157,146,50
bright line,153,120,242,244
bright line,118,248,72,232
triangle,40,10,2,212
checkerboard,249,177,182,253
checkerboard,148,247,245,158
checkerboard,135,70,69,159
triangle,35,243,224,226
checkerboard,0,235,244,24
checkerboard,45,123,119,68
triangle,237,221,48,233
triangle,230,217,207,32
triangle,39,4,44,216
checkerboard,18,91,88,35
checkerboard,102,23,41,95
checkerboard,226,142,157,208
checkerboard,233,13,16,214
triangle,40,241,42,41
checkerboard,70,165,144,55
triangle,3,5,1,232
checkerboard,179,119,100,178
checkerboard,189,51,33,196
triangle,46,33,248,1
bright line,235,32,235,51
bright line,98,70,239,242
checkerboard,144,236,222,120
bright line,236,252,60,86
bright line,119,232,20,251
bright line,240,250,172,7
checkerboard,62,158,147,44
checkerboard,254,180,190,249
checkerboard,98,8,0,110
triangle,251,0,47,49
checkerboard,173,47,45,172
bright line,248,130,245,49
checkerboard,72,247,240,48
bright line,246,246,68,115
bright line,95,253,43,244
bright line,98,149,235,254
bright line,251,251,99,142
bright line,240,250,13,83
bright line,78,86,234,247
checkerboard,41,151,133,51
checkerboard,49,132,117,63
triangle,239,33,11,41
bright line,173,17,237,251
checkerboard,140,75,73,129
checkerboard,248,140,119,250
checkerboard,61,134,136,49
triangle,255,230,0,230
triangle,45,49,252,24
checkerboard,42,197,178,27
checkerboard,250,43,60,247
checkerboard,98,2,2,77
bright line,66,19,237,231
checkerboard,13,97,91,12
checkerboard,159,48,49,152
triangle,225,230,27,216
checkerboard,198,48,58,202
triangle,23,1,248,13
triangle,238,235,252,39
checkerboard,230,79,98,246
checkerboard,119,214,201,105
checkerboard,173,81,98,192
checkerboard,28,241,228,29
checkerboard,209,31,12,228
checkerboard,53,138,136,32
triangle,241,211,203,23
triangle,231,207,223,27
triangle,47,240,222,241
checkerboard,219,156,162,213
triangle,236,35,224,239
bright line,101,250,80,241
bright line,246,153,250,64
triangle,48,20,228,37
triangle,21,246,6,30
triangle,218,5,255,246
bright line,26,81,251,241
checkerboard,14,199,209,0
triangle,212,234,4,226
triangle,14,244,246,248
checkerboard,25,206,230,2
triangle,204,24,245,246
bright line,88,241,25,249
triangle,214,5,211,227
checkerboard,79,185,185,66
triangle,40,246,208,214
bright line,243,241,20,103
bright line,63,254,54,234
triangle,218,235,8,255
checkerboard,130,253,232,140
checkerboard,203,40,24,212
bright line,110,246,99,244
bright line,250,250,111,61
checkerboard,178,76,96,201
checkerboard,229,150,139,226
checkerboard,236,145,167,236
bright line,95,233,138,251
checkerboard,25,205,213,2
bright line,235,244,78,111
bright line,244,105,241,173
checkerboard,80,232,226,104
triangle,231,1,232,221
checkerboard,32,243,220,33
bright line,124,31,255,251
checkerboard,210,134,152,207
triangle,33,220,14,42
triangle,226,232,23,215
checkerboard,19,153,155,13
triangle,226,48,236,223
triangle,245,233,39,223
checkerboard,200,122,136,223
checkerboard,179,124,113,180
triangle,226,250,7,253
bright line,27,133,255,249
checkerboard,232,42,50,246
checkerboard,48,156,162,48
triangle,237,231,246,41
triangle,36,237,21,8
checkerboard,20,178,177,28
checkerboard,226,63,46,226
checkerboard,171,62,78,152
bright line,253,254,68,140
bright line,242,119,245,80
bright line,127,233,149,240
triangle,255,204,11,231
checkerboard,14,184,196,20
bright line,233,255,29,123
bright line,172,162,238,233
bright line,172,246,10,250
triangle,246,49,31,40
checkerboard,150,16,16,130
bright line,112,245,34,239
bright line,147,249,32,241
bright line,148,65,249,248
checkerboard,89,19,21,103
triangle,249,252,14,235
bright line,159,234,113,237
bright line,248,237,15,98
triangle,11,28,48,244
triangle,12,249,4,38
checkerboard,226,135,120,223
bright line,243,96,238,18
bright line,253,34,234,18
bright line,252,76,239,105
checkerboard,3,210,195,14
bright line,241,250,127,11
triangle,201,219,49,255
triangle,6,23,250,29
bright line,234,103,238,83
checkerboard,91,235,225,106
triangle,30,23,228,32
triangle,244,223,206,44
bright line,239,243,129,57
bright line,249,246,141,37
checkerboard,51,104,107,33
bright line,247,245,105,32
bright line,102,56,252,239
triangle,227,218,12,205
triangle,220,222,241,14
checkerboard,142,2,9,146
triangle,223,5,15,44
triangle,201,5,211,225
triangle,212,225,213,33
checkerboard,28,231,223,44
bright line,115,55,244,232
triangle,242,24,49,8
checkerboard,109,224,248,114
triangle,47,201,39,35
bright line,247,239,62,69
bright line,253,144,239,164
checkerboard,104,185,164,89
triangle,233,7,229,218
triangle,48,27,37,236
bright line,124,84,238,245
triangle,39,244,220,248
bright line,42,233,126,234
checkerboard,101,244,238,111
checkerboard,224,36,57,227
checkerboard,200,75,87,184
bright line,235,253,167,6
triangle,240,233,3,218
checkerboard,75,181,162,56
checkerboard,23,136,150,37
checkerboard,228,41,37,252
checkerboard,182,0,4,161
bright line,139,241,26,237
bright line,167,110,233,253
bright line,236,238,6,63
checkerboard,241,119,142,251
triangle,49,216,7,47
triangle,32,13,223,35
bright line,32,114,252,245
bright line,82,1,240,240
checkerboard,211,44,43,205
bright line,50,18,233,255
bright line,242,2,255,91
triangle,212,41,252,236
triangle,31,232,19,23
triangle,207,211,227,44
bright line,43,236,161,251
bright line,23,118,236,253
bright line,251,231,120,114
checkerboard,23,157,136,17
triangle,226,215,23,203
checkerboard,151,76,54,161
checkerboard,172,46,53,153
triangle,13,238,27,4
bright line,247,253,96,148
bright line,238,251,141,67
bright line,250,96,244,63
triangle,35,214,28,33
bright line,239,168,235,70
triangle,4,247,217,221
triangle,45,252,233,220
bright line,40,153,244,234
checkerboard,123,227,212,102
bright line,250,239,91,19
checkerboard,138,23,9,122
triangle,253,31,49,9
checkerboard,112,187,165,92
triangle,226,30,241,241
triangle,34,23,46,243
bright line,50,164,249,255
checkerboard,241,146,154,220
bright line,86,131,253,240
checkerboard,135,59,57,115
triangle,238,240,253,44
bright line,76,24,250,238
bright line,55,114,234,252
checkerboard,132,30,13,110
bright line,253,247,28,155
triangle,253,245,223,11
checkerboard,139,15,14,163
checkerboard,216,93,107,211
checkerboard,4,170,165,4
triangle,203,9,7,22
checkerboard,226,124,148,206
bright line,240,26,254,3
checkerboard,144,213,209,130
checkerboard,221,107,129,242
bright line,246,139,234,55
bright line,145,103,232,245
triangle,224,27,238,232
bright line,87,40,246,236
bright line,98,244,71,239
checkerboard,235,170,167,245
bright line,133,244,130,247
checkerboard,254,56,38,251
triangle,31,12,251,24
checkerboard,244,155,131,226
checkerboard,42,188,197,36
checkerboard,170,19,40,175
checkerboard,105,51,48,102
bright line,15,234,117,239
bright line,30,63,240,236
bright line,246,69,233,117
checkerboard,122,196,205,121
bright line,247,250,36,105
triangle,228,235,17,229
bright line,242,237,142,128
triangle,8,26,17,221
triangle,8,17,28,225
bright line,236,251,20,56
checkerboard,229,96,73,232
bright line,246,35,246,159
checkerboard,92,210,228,98
checkerboard,15,205,219,17
checkerboard,138,0,11,134
checkerboard,78,248,252,81
bright line,121,242,93,231
checkerboard,188,106,88,210
triangle,34,36,32,227
checkerboard,162,24,0,143
checkerboard,9,124,119,6
bright line,244,244,32,42
checkerboard,69,255,247,75
bright line,134,248,69,235
bright line,246,56,239,171
bright line,48,236,173,246
bright line,239,252,59,1
bright line,246,69,242,12
triangle,46,221,242,242
checkerboard,127,22,22,120
checkerboard,195,19,7,182
bright line,17,250,66,251
bright line,236,50,239,14
checkerboard,233,153,143,222
checkerboard,242,167,172,238
checkerboard,25,86,103,2
bright line,255,232,110,155
bright line,139,152,236,232
bright line,7,242,105,250
checkerboard,123,3,23,115
checkerboard,25,168,177,4
checkerboard,208,20,39,191
bright line,84,253,43,253
checkerboard,130,218,198,144
bright line,243,241,24,146
bright line,251,248,124,23
checkerboard,28,124,118,36
bright line,242,250,95,146
bright line,248,237,48,0
bright line,93,22,243,247
bright line,242,255,87,89
checkerboard,126,188,204,127
triangle,235,27,27,15
checkerboard,76,6,12,90
bright line,239,244,66,169
triangle,209,39,224,235
checkerboard,53,167,173,64
triangle,239,25,17,32
triangle,48,238,4,24
triangle,242,240,239,45
bright line,64,237,1,236
bright line,245,254,125,149
checkerboard,185,240,245,169
bright line,81,241,161,247
checkerboard,251,138,152,244
checkerboard,231,97,103,207
bright line,241,247,56,171
bright line,234,47,232,147
triangle,231,249,250,36
bright line,242,246,149,23
triangle,250,253,207,7
checkerboard,183,62,58,180
checkerboard,190,110,86,189
checkerboard,150,235,253,137
triangle,231,36,255,249
triangle,239,33,248,227
checkerboard,194,88,106,192
bright line,127,234,83,236
triangle,11,252,245,227
triangle,3,218,8,48
triangle,236,12,253,243
checkerboard,212,52,49,229
checkerboard,214,107,88,234
triangle,29,21,242,18
bright line,26,251,93,238
triangle,245,225,244,37
checkerboard,142,20,10,155
bright line,57,235,80,241
bright line,245,86,252,150
checkerboard,105,191,191,108
checkerboard,152,25,26,172
checkerboard,179,110,102,198
bright line,85,242,63,250
bright line,236,106,249,119
bright line,237,51,232,158
checkerboard,217,12,34,198
bright line,241,237,137,97
triangle,7,212,34,18
bright line,91,164,252,252
bright line,90,238,68,232
checkerboard,69,123,124,49
bright line,252,251,146,89
bright line,112,148,246,232
checkerboard,29,131,121,32
checkerboard,234,61,57,244
bright line,28,241,49,249
checkerboard,116,39,20,97
bright line,1,237,31,242
checkerboard,132,56,77,138
checkerboard,212,104,120,220
triangle,35,233,207,251
triangle,215,222,234,37
bright line,114,246,96,249
checkerboard,135,239,255,122
triangle,222,32,6,10
triangle,234,254,39,235
bright line,252,52,233,76
checkerboard,175,12,31,162
bright line,232,70,248,153
triangle,10,9,42,221
checkerboard,217,94,72,223
checkerboard,247,91,74,241
checkerboard,154,231,243,154
checkerboard,92,177,183,106
checkerboard,40,230,249,24
checkerboard,174,1,16,166
triangle,28,218,40,19
bright line,85,17,248,248
triangle,12,220,30,40
bright line,18,151,231,242
checkerboard,44,172,187,23
checkerboard,75,210,227,77
triangle,32,32,0,214
checkerboard,244,130,140,230
triangle,8,37,235,48
checkerboard,222,60,36,232
bright line,96,17,233,247
bright line,51,135,235,247
bright line,39,40,252,250
bright line,243,79,250,108
checkerboard,57,133,146,56
triangle,233,241,222,12
checkerboard,155,104,103,169
bright line,249,174,251,78
triangle,19,35,208,47
bright line,147,236,125,236
triangle,0,253,216,228
checkerboard,236,44,40,222
checkerboard,227,42,59,235
triangle,39,47,254,12
checkerboard,206,109,89,216
bright line,15,246,109,237
bright line,56,143,231,240
triangle,29,4,216,46
checkerboard,180,81,91,192
triangle,215,229,23,247
triangle,2,217,20,21
checkerboard,156,61,78,166
bright line,244,241,162,152
bright line,236,237,156,119
checkerboard,204,107,112,184
checkerboard,212,114,105,200
checkerboard,132,241,217,155
bright line,239,76,248,146
triangle,34,207,24,7
triangle,212,217,24,253
checkerboard,242,115,97,233
checkerboard,46,142,147,34
checkerboard,223,74,79,241
checkerboard,241,13,16,242
bright line,113,254,71,232
bright line,150,250,63,235
bright line,142,124,240,241
checkerboard,7,80,80,6
checkerboard,255,69,91,233
checkerboard,152,58,69,150
triangle,203,241,251,1
checkerboard,145,197,209,131
checkerboard,197,98,114,204
triangle,16,47,218,11
triangle,16,243,226,234
checkerboard,140,50,31,156
triangle,215,14,212,208
bright line,127,116,238,245
checkerboard,36,115,108,45
checkerboard,186,249,246,174
checkerboard,170,93,109,191
bright line,161,7,243,239
checkerboard,27,147,124,28
bright line,245,235,139,83
checkerboard,31,200,206,43
triangle,28,24,24,254
checkerboard,152,80,66,138
bright line,240,57,231,93
triangle,25,218,232,215
checkerboard,225,125,147,232
bright line,242,116,231,140
bright line,168,253,63,231
checkerboard,125,60,49,133
bright line,254,243,128,88
triangle,247,9,48,38
bright line,239,242,121,102
triangle,19,15,237,16
checkerboard,238,116,139,247
bright line,88,249,101,242
bright line,249,240,121,20
bright line,133,255,50,240
checkerboard,169,237,221,156
triangle,35,207,19,12
checkerboard,212,33,39,202
triangle,45,248,213,254
bright line,121,249,95,245
triangle,205,216,13,249
checkerboard,10,192,204,20
checkerboard,95,162,182,87
triangle,214,241,13,250
triangle,245,223,221,17
bright line,43,27,253,233
bright line,233,48,247,5
triangle,242,18,8,28
bright line,251,139,233,13
triangle,219,244,40,245
triangle,40,12,249,1
checkerboard,132,204,205,140
bright line,167,238,63,250
checkerboard,48,119,123,67
triangle,251,226,210,21
triangle,241,234,234,24
checkerboard,29,214,198,15
bright line,108,244,159,239
bright line,237,144,231,36
triangle,233,250,202,40
triangle,218,224,229,12
bright line,63,237,4,247
checkerboard,214,120,118,208
bright line,240,96,242,129
triangle,232,235,201,6
triangle,250,15,208,208
bright line,138,240,6,250
triangle,221,35,249,215
bright line,161,124,243,233
bright line,252,54,234,63
bright line,141,49,231,255
bright line,105,3,231,236
triangle,203,217,210,3
checkerboard,109,10,25,91
triangle,206,234,45,252
triangle,204,18,38,18
checkerboard,6,76,77,14
triangle,43,201,236,238
triangle,32,7,223,41
triangle,247,6,16,31
checkerboard,150,242,247,154
bright line,25,8,249,246
triangle,220,44,38,48
checkerboard,204,8,11,203
bright line,235,16,247,5
bright line,233,54,253,18
bright line,253,126,253,137
bright line,247,238,174,170
bright line,241,234,164,152
triangle,29,240,249,235
triangle,39,46,217,39
bright line,114,247,123,249
bright line,125,252,6,235
bright line,160,251,121,247
bright line,237,233,169,41
bright line,22,246,4,240
checkerboard,167,99,101,179
triangle,201,35,235,241
triangle,4,227,17,14
bright line,236,250,145,32
checkerboard,218,61,59,232
checkerboard,126,48,34,112
triangle,10,1,245,28
bright line,236,246,154,63
checkerboard,61,112,119,54
bright line,167,238,78,247
checkerboard,142,212,228,118
triangle,224,19,230,214
triangle,0,49,218,35
checkerboard,162,97,110,174
triangle,202,218,45,201
triangle,240,229,14,246
checkerboard,172,26,19,170
triangle,211,208,18,241
checkerboard,231,115,132,226
bright line,244,251,54,79
bright line,162,113,243,240
bright line,107,28,243,232
triangle,227,29,26,8
checkerboard,190,57,69,211
triangle,42,47,46,214
checkerboard,113,255,232,108
triangle,14,225,205,252
triangle,6,1,224,43
bright line,236,56,254,87
checkerboard,32,186,178,52
bright line,119,38,247,248
bright line,13,239,36,233
triangle,15,208,16,5
bright line,239,236,62,136
bright line,172,254,102,255
checkerboard,156,22,43,173
triangle,20,0,203,14
checkerboard,166,98,89,162
checkerboard,166,32,43,144
triangle,244,224,243,13
checkerboard,227,23,34,248
triangle,221,30,4,34
bright line,234,249,76,81
triangle,34,11,254,8
checkerboard,140,39,16,129
triangle,240,204,22,215
bright line,4,235,158,251
checkerboard,243,107,107,250
checkerboard,201,65,79,190
triangle,5,0,207,4
checkerboard,85,227,234,93
triangle,14,254,33,44
checkerboard,32,241,225,13
checkerboard,173,91,84,188
checkerboard,50,240,221,29
checkerboard,24,255,239,18
checkerboard,66,225,210,73
checkerboard,176,1,22,162
triangle,201,255,209,3
checkerboard,247,98,94,253
checkerboard,160,17,0,156
checkerboard,243,42,38,254
triangle,251,2,28,10
bright line,34,105,236,252
triangle,249,45,4,8
checkerboard,9,127,138,22
triangle,204,21,252,220
triangle,255,249,201,18
bright line,249,10,241,53
bright line,236,234,165,18
triangle,15,252,247,219
checkerboard,32,207,198,55
checkerboard,221,98,100,243
checkerboard,151,25,48,151
checkerboard,133,9,8,154
checkerboard,107,205,199,120
checkerboard,236,101,95,218
bright line,245,243,151,27
bright line,35,243,88,243
checkerboard,65,157,144,74
triangle,231,213,0,221
checkerboard,104,195,204,121
triangle,228,36,227,210
bright line,253,171,235,25
bright line,238,254,122,55
bright line,236,234,154,155
checkerboard,208,157,155,219
checkerboard,47,130,139,54
checkerboard,12,213,231,6
triangle,246,223,217,41
checkerboard,185,11,8,178
triangle,218,9,242,222
checkerboard,243,67,49,254
bright line,248,62,237,12
bright line,236,240,6,12
checkerboard,164,226,219,145
bright line,253,233,97,58
bright line,233,134,236,52
bright line,245,243,89,171
triangle,236,253,252,32
triangle,34,49,26,231
checkerboard,178,33,17,180
triangle,0,207,46,37
bright line,249,39,246,28
triangle,0,45,44,210
checkerboard,96,244,242,116
triangle,222,27,44,14
triangle,33,235,252,214
checkerboard,175,232,228,173
triangle,209,202,23,249
triangle,228,7,0,34
checkerboard,164,25,4,160
checkerboard,185,112,91,164
checkerboard,223,118,95,216
bright line,83,254,27,249
triangle,228,5,208,249
checkerboard,73,136,125,70
triangle,29,201,219,246
bright line,14,85,242,237
checkerboard,176,74,53,180
bright line,114,251,89,253
triangle,248,19,30,8
checkerboard,91,222,223,72
checkerboard,74,167,161,50
checkerboard,234,49,45,254
checkerboard,8,158,144,28
checkerboard,100,162,152,85
bright line,249,40,237,35
checkerboard,230,137,121,213
bright line,37,251,9,233
bright line,85,82,249,246
triangle,16,247,40,31
checkerboard,89,210,232,75
bright line,91,149,235,241
checkerboard,57,124,148,42
checkerboard,78,250,254,93
checkerboard,163,27,12,163
checkerboard,212,87,92,220
checkerboard,165,28,46,172
checkerboard,226,107,111,221
bright line,255,171,235,25
bright line,9,112,233,236
bright line,18,31,254,239
bright line,40,31,239,235
bright line,37,85,244,231
bright line,106,239,22,255
bright line,239,241,8,14
triangle,20,24,224,7
triangle,219,48,216,208
checkerboard,99,13,9,81
triangle,36,34,227,39
checkerboard,165,246,235,181
triangle,215,33,27,20
checkerboard,1,176,195,4
bright line,233,234,82,101
bright line,76,78,248,236
bright line,243,241,73,147
checkerboard,204,90,86,223
checkerboard,88,181,160,64
checkerboard,202,45,26,201
bright line,97,154,237,240
triangle,221,225,30,228
checkerboard,45,188,210,25
checkerboard,247,133,142,233
checkerboard,18,210,220,24
triangle,232,37,23,46
bright line,160,238,99,232
bright line,14,252,170,239
checkerboard,16,167,179,27
checkerboard,50,215,200,46
bright line,2,254,79,235
checkerboard,170,55,74,177
triangle,219,47,17,19
bright line,234,250,142,132
checkerboard,71,205,197,60
triangle,208,33,5,42
checkerboard,236,97,112,230
checkerboard,156,221,209,133
bright line,237,233,46,130
checkerboard,120,233,211,108
bright line,240,237,156,156
bright line,240,161,244,163
checkerboard,114,248,235,115
bright line,235,238,134,66
checkerboard,67,174,195,49
triangle,238,19,255,201
checkerboard,50,121,136,58
triangle,243,33,220,229
triangle,202,15,0,48
triangle,218,46,35,25
triangle,12,39,30,222
triangle,203,44,247,248
checkerboard,121,32,10,115
bright line,249,236,48,6
checkerboard,224,43,64,209
checkerboard,209,69,75,230
triangle,44,6,48,254
triangle,247,206,208,23
triangle,214,18,8,9
checkerboard,221,81,83,242
triangle,3,43,250,28
bright line,40,244,164,234
bright line,69,81,241,240
bright line,243,77,239,64
checkerboard,169,109,102,169
checkerboard,80,194,211,62
checkerboard,125,46,22,104
checkerboard,188,39,29,185
bright line,163,255,44,246
checkerboard,58,228,216,37
bright line,240,160,245,71
triangle,251,204,254,1
bright line,242,123,238,151
triangle,254,250,252,33
checkerboard,189,33,12,211
triangle,23,9,20,233
triangle,3,25,32,201
checkerboard,80,198,200,96
checkerboard,120,53,54,114
bright line,138,79,249,243
checkerboard,227,96,118,208
bright line,254,247,14,129
checkerboard,239,65,50,227
bright line,120,248,40,254
bright line,231,247,74,130
checkerboard,119,191,201,103
bright line,38,134,251,241
triangle,14,228,19,2
checkerboard,84,230,249,72
bright line,232,248,156,94
checkerboard,189,48,45,199
checkerboard,193,76,65,178
bright line,3,253,133,237
triangle,17,255,9,32
bright line,118,250,55,255
bright line,248,251,100,3
checkerboard,145,38,35,163
checkerboard,216,142,153,213
bright line,174,141,255,251
triangle,36,30,248,44
checkerboard,62,207,189,83
bright line,99,120,244,241
bright line,12,173,246,231
checkerboard,63,169,156,61
triangle,234,18,253,252
bright line,247,238,38,115
bright line,173,245,40,246
checkerboard,101,164,156,97
checkerboard,146,70,94,161
triangle,31,1,23,205
checkerboard,13,225,222,22
bright line,238,249,43,105
bright line,117,247,132,239
checkerboard,216,95,110,217
triangle,248,241,46,207
bright line,33,92,231,232
bright line,91,149,252,233
bright line,250,244,116,137
checkerboard,220,128,108,224
checkerboard,220,43,55,228
triangle,229,17,212,251
checkerboard,200,133,126,213
triangle,248,252,222,32
checkerboard,217,34,40,238
triangle,214,10,249,234
bright line,56,247,86,243
checkerboard,96,172,187,111
checkerboard,119,226,222,120
triangle,249,45,247,219
checkerboard,228,12,21,244
checkerboard,91,166,162,76
checkerboard,237,71,72,255
triangle,228,7,232,237
triangle,23,2,27,205
checkerboard,180,88,109,182
triangle,247,236,251,14
bright line,250,231,88,38
bright line,255,159,232,159
bright line,23,231,115,246
triangle,251,222,11,225
triangle,205,230,217,27
bright line,245,39,251,116
bright line,162,136,234,247
bright line,173,101,234,255
bright line,21,241,162,254
bright line,233,240,33,17
checkerboard,243,46,63,238
checkerboard,86,194,215,83
bright line,34,250,5,238
checkerboard,42,131,115,62
checkerboard,14,211,206,1
checkerboard,172,87,97,189
bright line,133,145,249,243
triangle,224,239,30,231
bright line,243,233,81,13
checkerboard,216,58,62,220
triangle,207,46,38,35
triangle,254,15,19,16
triangle,217,5,233,232
checkerboard,66,6,9,82
triangle,255,239,29,223
checkerboard,239,98,92,224
checkerboard,38,189,188,20
checkerboard,225,171,148,242
checkerboard,34,122,128,58
checkerboard,36,194,185,34
bright line,245,242,103,39
checkerboard,101,40,22,97
checkerboard,103,231,209,115
bright line,116,238,165,245
bright line,123,250,29,252
bright line,237,235,68,38
checkerboard,196,83,105,187
bright line,113,119,234,243
bright line,242,246,162,159
checkerboard,173,70,48,188
checkerboard,212,124,106,233
bright line,104,250,123,240
checkerboard,144,33,49,131
checkerboard,178,60,60,189
checkerboard,109,21,39,123
bright line,137,128,241,243
bright line,237,79,244,153
bright line,237,26,249,91
triangle,20,12,23,244
checkerboard,147,5,17,142
checkerboard,124,28,7,140
bright line,255,147,234,24
checkerboard,21,90,99,29
checkerboard,115,189,173,97
triangle,15,208,10,35
triangle,249,224,30,205
checkerboard,253,168,150,231
triangle,18,237,43,32
triangle,222,211,39,237
triangle,229,8,14,13
triangle,19,232,30,28
triangle,252,37,239,251
triangle,232,229,252,1
bright line,232,52,231,11
bright line,249,120,241,16
checkerboard,14,245,240,31
checkerboard,44,178,173,36
checkerboard,230,178,159,237
checkerboard,150,217,222,149
bright line,25,34,244,255
checkerboard,154,76,79,135
checkerboard,104,240,230,118
triangle,206,219,202,35
bright line,248,247,71,19
checkerboard,218,44,31,219
checkerboard,192,15,39,211
bright line,237,255,169,95
triangle,5,214,227,234
triangle,45,225,246,250
checkerboard,13,221,231,27
bright line,251,72,248,129
triangle,247,231,228,9
bright line,250,236,99,112
checkerboard,227,142,147,212
checkerboard,43,102,98,22
bright line,22,116,243,246
bright line,237,41,248,85
checkerboard,125,4,0,137
checkerboard,239,58,80,220
